                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.73206,                0.38042,                0.91568,                0.96783,                0.98812,                0.99352,                 0.7915,                0.84429,                 0.3573,                0.97757,              0.0005368,              0.0005368,              0.0005368
                    125,                0.71172,                0.37455,                0.92433,                0.98377,                0.98513,                0.99368,                0.78743,                0.83008,                0.36294,                0.97019,              0.0005349,              0.0005349,              0.0005349
                    126,                 0.7221,                0.37474,                0.92107,                0.97258,                0.99179,                 0.9938,                0.79006,                0.84439,                0.35881,                0.97979,             0.00053299,             0.00053299,             0.00053299
                    127,                0.71712,                0.37407,                0.92167,                0.97823,                0.99451,                0.99391,                0.78969,                0.85895,                0.35841,                0.98217,             0.00053109,             0.00053109,             0.00053109
                    128,                0.71687,                0.36964,                0.93106,                0.97785,                0.99174,                0.99314,                0.78225,                0.85865,                0.35558,                0.98418,             0.00052919,             0.00052919,             0.00052919
                    129,                0.71452,                0.36981,                0.92457,                0.98144,                0.99192,                0.99314,                0.79081,                0.84923,                0.35519,                0.98133,             0.00052728,             0.00052728,             0.00052728
                    130,                  0.714,                0.37312,                0.92634,                0.97329,                0.99146,                0.99337,                0.79272,                0.83991,                0.35854,                0.98192,             0.00052538,             0.00052538,             0.00052538
                    131,                0.71847,                0.36675,                0.91945,                0.97438,                0.98958,                0.99322,                0.78866,                0.85421,                0.35952,                0.98586,             0.00052348,             0.00052348,             0.00052348
                    132,                0.71913,                0.37047,                0.92511,                0.95822,                0.97712,                0.99088,                0.79423,                 0.8533,                0.39872,                0.98825,             0.00052157,             0.00052157,             0.00052157
                    133,                0.71668,                0.36943,                0.92364,                0.95559,                 0.9685,                0.98278,                0.78052,                0.86105,                0.42153,                 0.9946,             0.00051967,             0.00051967,             0.00051967
                    134,                0.70554,                0.37109,                0.91289,                 0.9508,                0.97393,                0.98289,                0.78224,                0.86631,                0.43337,                0.98684,             0.00051777,             0.00051777,             0.00051777
                    135,                0.70131,                0.36415,                0.92883,                0.96777,                0.98057,                0.98714,                0.79217,                0.85883,                0.40335,                0.98144,             0.00051586,             0.00051586,             0.00051586
                    136,                0.70689,                0.37061,                0.92042,                0.97066,                0.98124,                0.99096,                0.78966,                0.87087,                0.39001,                0.98201,             0.00051396,             0.00051396,             0.00051396
                    137,                 0.7095,                0.37166,                0.91482,                0.98681,                0.98392,                0.99393,                0.79667,                0.87667,                0.37181,                0.98123,             0.00051206,             0.00051206,             0.00051206
                    138,                0.70602,                0.36221,                0.92158,                0.98424,                0.98621,                0.99431,                 0.7881,                0.86644,                0.36489,                0.97772,             0.00051015,             0.00051015,             0.00051015
                    139,                 0.6921,                0.36131,                0.91996,                0.98223,                0.98142,                0.99376,                 0.7885,                0.86944,                0.36446,                0.98238,             0.00050825,             0.00050825,             0.00050825
                    140,                0.69636,                0.36191,                 0.9118,                 0.9828,                0.98926,                0.99406,                0.79299,                0.87332,                0.36586,                0.98784,             0.00050635,             0.00050635,             0.00050635
                    141,                0.70727,                0.36263,                0.92271,                0.97411,                0.98923,                0.99382,                0.79447,                0.85758,                0.36659,                0.98372,             0.00050444,             0.00050444,             0.00050444
                    142,                0.69711,                0.36753,                0.91096,                0.97923,                0.98886,                0.99355,                0.79853,                0.84714,                0.35459,                0.98028,             0.00050254,             0.00050254,             0.00050254
                    143,                0.70333,                0.35814,                0.91556,                0.97325,                0.99114,                 0.9935,                 0.7862,                0.85192,                0.35638,                 0.9785,             0.00050064,             0.00050064,             0.00050064
                    144,                0.70036,                0.35594,                0.91903,                 0.9794,                0.98398,                0.99376,                0.79056,                   0.85,                0.35558,                0.97651,             0.00049873,             0.00049873,             0.00049873
                    145,                0.69015,                0.35769,                 0.9176,                0.97732,                0.98141,                0.99334,                0.79673,                0.86207,                0.36203,                0.97928,             0.00049683,             0.00049683,             0.00049683
                    146,                0.69431,                0.35803,                0.91629,                0.97676,                0.98051,                0.99297,                0.78916,                0.87216,                0.36639,                0.98317,             0.00049493,             0.00049493,             0.00049493
                    147,                0.68322,                0.35337,                0.91645,                 0.9819,                0.98331,                0.99278,                0.78546,                0.86735,                0.36158,                0.98255,             0.00049303,             0.00049303,             0.00049303
                    148,                0.69667,                 0.3667,                 0.9119,                0.98018,                0.98781,                0.99313,                0.79296,                0.85887,                0.35097,                0.97834,             0.00049112,             0.00049112,             0.00049112
                    149,                0.69488,                0.36057,                0.91359,                0.98101,                0.98455,                0.99293,                0.79636,                0.87167,                0.36055,                0.97996,             0.00048922,             0.00048922,             0.00048922
                    150,                0.68495,                 0.3538,                0.90678,                0.98152,                0.98338,                0.99305,                0.78992,                0.84851,                 0.3512,                0.96738,             0.00048732,             0.00048732,             0.00048732
                    151,                0.70766,                0.36931,                0.91655,                 0.9775,                0.97995,                  0.993,                0.79274,                0.84647,                0.34818,                 0.9698,             0.00048541,             0.00048541,             0.00048541
                    152,                 0.7063,                0.36399,                0.91311,                0.97615,                0.98185,                0.99314,                0.79124,                0.86415,                0.35217,                0.97735,             0.00048351,             0.00048351,             0.00048351
                    153,                0.70704,                0.36304,                0.91627,                0.97374,                0.98412,                0.99285,                0.79508,                0.83995,                0.34644,                0.97191,             0.00048161,             0.00048161,             0.00048161
